OBJECTID,ANCHORNAME,ADDRESS,BLDGNBR,PREDIR,STREETNAME,STREETTYPE,SUFFDIR,CITY,STATECODE,ZIP5,ZIP4,LATITUDE,LONGITUDE,CAICAT,BBSERVICE,PublicWifi,URL,TRANSTECH,FULLFIPSID,CAIID,SubScrbDow,SubSrbUP,confidence
1,IRVINGTON POLICE,"1 Civic Sq Irvington, NJ 07111-2412 United States",1,,Civic Sq Irvington,,,Irvington,NJ,7111,,40.72586,-74.2335,4,Y,N,www.irvington.net,0,3.4013E+14,,11,ZZ,1
11,BELMONT RUNYON ELEMENTARY SCHOOL,"Belmont Runyon Way, Newark, NJ 07108, USA",N/A,,"BELMONT RUNYON WAY, NEWARK",,,Newark,NJ,7108,,40.7187296,-74.1981527,1,Y,N,www.nps.k12.nj.us/BEL,50,3.4013E+14,3.41134E+11,11,10,3
14,BRAGAW AVENUE SCHOOL,"103 Bragaw Ave Newark, NJ 07112-1340 United States",103,,Bragaw Ave Newark,,,Newark,NJ,7112,,40.717388,-74.217468,1,Y,N,www.nps.k12.nj.us/BRA,50,3.4013E+14,3.41134E+11,11,10,3
15,CEDAR GROVE HIGH SCHOOL,"90 Rugby Rd Cedar Grove, NJ 07009-1707 United States",90,,Rugby Rd Cedar Grove,,,Cedar Grove,NJ,7009,,40.850027,-74.222832,1,Y,N,www.cedargrove.k12.nj.us,50,3.4013E+14,3.40285E+11,10,10,3
20,EIGHTEENTH AVENUE ELEMENTARY SCHOOL,"229 18th Ave Newark, NJ 07108-2317 United States",229,,18th Ave Newark,,,Newark,NJ,7108,,40.72919,-74.1917,1,Y,N,www.nps.k12.nj.us/18A,50,3.4013E+14,3.41134E+11,11,10,3
24,GREGORY ELEMENTARY SCHOOL,"301 Gregory Ave West Orange, NJ 07052-4439 United States",301,,Gregory Ave West Orange,,,West Orange,NJ,7052,,40.765168,-74.258526,1,Y,N,http://schools.woboe.org/Schools/Gregory/Pages/default.aspx,50,3.4013E+14,3.41761E+11,10,10,3
26,HAWTHORNE AVENUE SCHOOL,"428 Hawthorne Ave Newark, NJ 07112-1639 United States",428,,Hawthorne Ave Newark,,,Newark,NJ,7112,,40.718681,-74.212013,1,Y,N,www.nps.k12.nj.us/HWT,50,3.4013E+14,3.41134E+11,11,10,3
30,JEFFERSON ELEMENTARY SCHOOL,"518 Ridgewood Rd Maplewood, NJ 07040-2158 United States",518,,Ridgewood Rd Maplewood,,,Maplewood,NJ,7040,,40.73608,-74.278122,1,Y,U,,50,3.4013E+14,3.41533E+11,7,ZZ,3
36,MADISON AVENUE ELEMENTARY SCHOOL,"823 S 16th St Newark, NJ 07108-1118 United States",823,,S 16th St Newark,,,Newark,NJ,7108,,40.726801,-74.211718,1,Y,N,www.nps.k12.nj.us/MAD,50,3.4013E+14,3.41134E+11,11,10,3
37,MAPLEWOOD MIDDLE SCHOOL,"7 Burnett St Maplewood, NJ 07040-2620 United States",7,,Burnett St Maplewood,,,Maplewood,NJ,7040,,40.728791,-74.276663,1,Y,U,,50,3.4013E+14,3.41533E+11,7,ZZ,3
